N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,4.0,eps=0.1,0.100000,1,0.9318575859,0.9530345798,4585.1958007812
256,4.0,eps=0.1,0.100000,2,0.9142750502,0.9398714304,1895.2197265625
256,4.0,eps=0.1,0.100000,3,0.8918872476,0.9231449366,786.1173095703
256,4.0,eps=0.1,0.100000,4,0.8631539345,0.9006522894,327.7173461914
256,4.0,eps=0.1,0.100000,5,0.8258498907,0.8696689606,137.5619049072
256,4.0,eps=0.1,0.100000,6,0.7766427398,0.8303586841,58.2316017151
256,4.0,eps=0.1,0.100000,7,0.7104660869,0.7766410708,24.8432083130
256,4.0,eps=0.1,0.100000,8,0.6199697256,0.7030326128,10.6065587997
256,4.0,eps=0.1,0.100000,9,0.4966529906,0.6091747284,4.4361386299
256,4.0,eps=1.0,1.000000,0,0.4574086070,0.6353189945,3.9962430000
256,4.0,eps=1.0,1.000000,1,0.2960265279,0.5138069391,1.5373272896
256,4.0,eps=1.0,1.000000,2,0.1384221464,0.3644877672,0.4927845299
256,4.0,eps=1.0,1.000000,3,0.0372714028,0.2027484626,0.1075390354
256,4.0,eps=1.0,1.000000,4,0.0040757107,0.0700103715,0.0110198222
256,4.0,eps=1.0,1.000000,5,0.0001065039,0.0091392659,0.0002930444
256,4.0,eps=1.0,1.000000,6,0.0000003199,0.0001623529,0.0000009244
256,4.0,eps=1.0,1.000000,7,0.0000000101,0.0000001451,0.0000000428
256,4.0,eps=1.0,1.000000,8,0.0000000078,0.0000001329,0.0000000412
256,4.0,eps=1.0,1.000000,9,0.0000000088,0.0000001451,0.0000000408
256,4.0,n^(1/q)/2,2.000000,0,0.1477294564,0.9014103413,0.2784133852
256,4.0,n^(1/q)/2,2.000000,1,0.0536939166,0.3107807040,0.1793356687
256,4.0,n^(1/q)/2,2.000000,2,0.0146289365,0.1633805484,0.0393136516
256,4.0,n^(1/q)/2,2.000000,3,0.0022153719,0.0494466685,0.0051833256
256,4.0,n^(1/q)/2,2.000000,4,0.0000864351,0.0048118611,0.0001945641
256,4.0,n^(1/q)/2,2.000000,5,0.0000002121,0.0000465855,0.0000005172
256,4.0,n^(1/q)/2,2.000000,6,0.0000000076,0.0000001451,0.0000000425
256,4.0,n^(1/q)/2,2.000000,7,0.0000000000,0.0000000000,0.0000000409
256,4.0,n^(1/q)/2,2.000000,8,0.0000000064,0.0000001451,0.0000000407
256,4.0,n^(1/q)/2,2.000000,9,0.0000000000,0.0000000664,0.0000000409
256,4.0,n^(1/q)*2,8.000000,0,3.3407311440,6.6056413651,0.9792027473
256,4.0,n^(1/q)*2,8.000000,1,1.1703655720,2.8028206825,0.8421109319
256,4.0,n^(1/q)*2,8.000000,2,0.1477294564,0.9014103413,0.2784133852
256,4.0,n^(1/q)*2,8.000000,3,0.0536939166,0.3107807040,0.1793356687
256,4.0,n^(1/q)*2,8.000000,4,0.0146289365,0.1633805484,0.0393136516
256,4.0,n^(1/q)*2,8.000000,5,0.0022153719,0.0494466685,0.0051833256
256,4.0,n^(1/q)*2,8.000000,6,0.0000864351,0.0048118611,0.0001945641
256,4.0,n^(1/q)*2,8.000000,7,0.0000002121,0.0000465855,0.0000005172
256,4.0,n^(1/q)*2,8.000000,8,0.0000000076,0.0000001451,0.0000000425
256,4.0,n^(1/q)*2,8.000000,9,0.0000000000,0.0000000000,0.0000000409
256,4.0,max+1,1.000000,0,0.4574086070,0.6353189945,3.9962430000
256,4.0,max+1,1.000000,1,0.2960265279,0.5138069391,1.5373272896
256,4.0,max+1,1.000000,2,0.1384221464,0.3644877672,0.4927845299
256,4.0,max+1,1.000000,3,0.0372714028,0.2027484626,0.1075390354
256,4.0,max+1,1.000000,4,0.0040757107,0.0700103715,0.0110198222
256,4.0,max+1,1.000000,5,0.0001065039,0.0091392659,0.0002930444
256,4.0,max+1,1.000000,6,0.0000003199,0.0001623529,0.0000009244
256,4.0,max+1,1.000000,7,0.0000000101,0.0000001451,0.0000000428
256,4.0,max+1,1.000000,8,0.0000000078,0.0000001329,0.0000000412
256,4.0,max+1,1.000000,9,0.0000000088,0.0000001451,0.0000000408
256,4.0,max+n^(1/2q),2.000000,0,0.1477294564,0.9014103413,0.2784133852
256,4.0,max+n^(1/2q),2.000000,1,0.0536939166,0.3107807040,0.1793356687
256,4.0,max+n^(1/2q),2.000000,2,0.0146289365,0.1633805484,0.0393136516
256,4.0,max+n^(1/2q),2.000000,3,0.0022153719,0.0494466685,0.0051833256
256,4.0,max+n^(1/2q),2.000000,4,0.0000864351,0.0048118611,0.0001945641
256,4.0,max+n^(1/2q),2.000000,5,0.0000002121,0.0000465855,0.0000005172
256,4.0,max+n^(1/2q),2.000000,6,0.0000000076,0.0000001451,0.0000000425
256,4.0,max+n^(1/2q),2.000000,7,0.0000000000,0.0000000000,0.0000000409
256,4.0,max+n^(1/2q),2.000000,8,0.0000000064,0.0000001451,0.0000000407
256,4.0,max+n^(1/2q),2.000000,9,0.0000000000,0.0000000664,0.0000000409
256,8.0,n^(1/q),2.000000,0,0.8820906878,0.9998965263,0.9867966771
256,8.0,n^(1/q),2.000000,1,0.0589546785,0.2627274692,0.6865806580
256,8.0,n^(1/q),2.000000,2,0.0188253913,0.1710325480,0.1666852385
256,8.0,n^(1/q),2.000000,3,0.0032207258,0.0851224363,0.0245302431
256,8.0,n^(1/q),2.000000,4,0.0002039072,0.0247483440,0.0014639497
256,8.0,n^(1/q),2.000000,5,0.0000028684,0.0023529839,0.0000204492
256,8.0,n^(1/q),2.000000,6,0.0000000056,0.0000222361,0.0000002429
